event_bits,evt_cmd_shoot_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,447100.0,0,3,2,51072,1,1021483,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51073,1,1021503,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51074,1,1021523,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51075,1,1021543,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51076,1,1021563,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51077,1,1021583,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51078,1,1021603,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51079,1,1021623,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51080,1,1021643,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51081,1,1021663,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51082,1,1021683,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51083,1,1021703,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51084,1,1021723,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51085,1,1021743,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51086,1,1021763,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51087,1,1021783,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51088,1,1021803,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51089,1,1021823,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51090,1,1021843,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51091,1,1021863,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51092,1,1021883,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51093,1,1021903,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51094,1,1021923,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51095,1,1021943,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51096,1,1021963,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51097,1,1021983,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51098,1,1022003,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51099,1,1022023,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51100,1,1022043,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51101,1,1022063,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51102,1,1022083,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51103,1,1022103,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51104,1,1022123,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51105,1,1022143,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51106,1,1022163,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51107,1,1022183,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51108,1,1022203,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51109,1,1022223,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51110,1,1022243,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51111,1,1022263,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51112,1,1022283,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51113,1,1022303,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51114,1,1022323,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51115,1,1022343,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51116,1,1022363,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51117,1,1022383,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51118,1,1022403,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51119,1,1022423,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51120,1,1022443,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51121,1,1022463,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51122,1,1022483,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51123,1,1022503,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51124,1,1022523,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51125,1,1022543,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51126,1,1022563,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51127,1,1022583,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51128,1,1022603,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51129,1,1022623,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51130,1,1022643,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51131,1,1022663,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51132,1,1022683,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51133,1,1022703,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51134,1,1022723,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51135,1,1022743,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51136,1,1022763,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51137,1,1022783,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51138,1,1022803,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51139,1,1022823,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51140,1,1022843,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51141,1,1022863,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51142,1,1022883,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51143,1,1022903,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51144,1,1022923,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51145,1,1022943,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51146,1,1022963,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51147,1,1022983,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51148,1,1023003,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51149,1,1023023,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51150,1,1023043,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51151,1,1023063,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51152,1,1023083,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51153,1,1023103,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51154,1,1023123,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51155,1,1023143,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51156,1,1023163,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51157,1,1023183,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51158,1,1023203,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51159,1,1023223,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51160,1,1023243,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51161,1,1023263,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51162,1,1023283,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51163,1,1023303,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51164,1,1023323,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51165,1,1023343,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51166,1,1023363,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51167,1,1023383,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51168,1,1023403,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51169,1,1023423,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51170,1,1023443,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51171,1,1023463,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51172,1,1023483,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51173,1,1023503,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51174,1,1023523,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51175,1,1023543,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51176,1,1023563,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51177,1,1023583,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51178,1,1023603,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51179,1,1023623,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51180,1,1023643,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51181,1,1023663,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51182,1,1023683,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51183,1,1023703,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51184,1,1023723,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51185,1,1023743,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51186,1,1023763,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51187,1,1023783,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51188,1,1023803,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51189,1,1023823,0,0.0,0
