evt_cmd_shoot_toggle,evt_fn1_cur,fric1_rpm,fric2_rpm,fric_set,high_freq,shoot_mode
0,0,4869,-4876,4900.0,0,2
0,0,4886,-4920,4900.0,0,2
0,0,4900,-4862,4900.0,0,2
0,0,4844,-4889,4900.0,0,2
0,0,4905,-4914,4900.0,0,2
0,0,4861,-4860,4900.0,0,2
0,0,4877,-4910,4900.0,0,2
0,0,4911,-4862,4900.0,0,2
0,0,4861,-4883,4900.0,0,2
0,0,4852,-4901,4900.0,0,2
0,0,4923,-4855,4900.0,0,2
0,0,4867,-4893,4900.0,0,2
0,0,4882,-4874,4900.0,0,2
0,0,4907,-4887,4900.0,0,2
0,0,4844,-4891,4900.0,0,2
0,0,4905,-4927,4900.0,0,2
0,0,4861,-4837,4900.0,0,2
0,0,4875,-4908,4900.0,0,2
0,0,4915,-4887,4900.0,0,2
0,0,4863,-4885,4900.0,0,2
0,0,4911,-4920,4900.0,0,2
0,0,4869,-4851,4900.0,0,2
0,0,4863,-4891,4900.0,0,2
0,0,4896,-4901,4900.0,0,2
0,0,4913,-4872,4900.0,0,2
0,0,4844,-4910,4900.0,0,2
0,0,4900,-4855,4900.0,0,2
0,0,4863,-4883,4900.0,0,2
0,0,4875,-4901,4900.0,0,2
0,0,4921,-4912,4900.0,0,2
0,0,4865,-4866,4900.0,0,2
