event_bits,evt_pause_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,1,1,0.0,1,3,2,68109,0,1362223,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68110,0,1362243,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68111,0,1362263,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68112,0,1362283,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68113,0,1362303,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68114,0,1362323,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68115,0,1362343,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68116,0,1362363,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68117,0,1362383,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68118,0,1362403,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68119,0,1362423,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68120,0,1362443,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68121,0,1362463,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68122,0,1362483,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68123,0,1362503,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68124,0,1362523,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68125,0,1362543,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68126,0,1362563,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68127,0,1362583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68128,0,1362603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68129,0,1362623,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68130,0,1362643,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68131,0,1362663,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68132,0,1362683,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68133,0,1362703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68134,0,1362723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68135,0,1362743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68136,0,1362763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68137,0,1362783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68138,0,1362803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68139,0,1362823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68140,0,1362843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68141,0,1362863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68142,0,1362883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68143,0,1362903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68144,0,1362923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68145,0,1362943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68146,0,1362963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68147,0,1362983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68148,0,1363003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68149,0,1363023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68150,0,1363043,0,0.0,0
