event_bits,evt_dial_neg,evt_dial_pos,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_ch3,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70972,0,1419483,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70973,0,1419503,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70974,0,1419523,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70975,0,1419543,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70976,0,1419563,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70977,0,1419583,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70978,0,1419603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70979,0,1419623,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70980,0,1419643,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70981,0,1419663,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70982,0,1419683,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70983,0,1419703,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70984,0,1419723,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70985,0,1419743,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70986,0,1419763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70987,0,1419783,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70988,0,1419803,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,0,3,2,70989,0,1419823,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70990,0,1419843,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70991,0,1419863,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70992,0,1419883,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70993,0,1419903,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,70994,0,1419923,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70995,0,1419943,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70996,0,1419963,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70997,0,1419983,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70998,0,1420003,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70999,0,1420023,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71000,0,1420043,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71001,0,1420063,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71002,0,1420083,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71003,0,1420103,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71004,0,1420123,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71005,0,1420143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71006,0,1420163,0,0.0,0
1048832,0,0,1,1,0,-7,0.0,1,0,3,2,71007,0,1420183,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71008,0,1420203,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71009,0,1420223,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71010,0,1420243,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71011,0,1420263,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71012,0,1420283,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71013,0,1420303,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71014,0,1420323,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71015,0,1420343,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71016,0,1420363,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71017,0,1420383,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71018,0,1420403,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71019,0,1420423,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71020,0,1420443,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71021,0,1420463,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71022,0,1420483,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71023,0,1420503,0,0.0,0
1048832,0,0,1,1,0,4,0.0,1,0,3,2,71024,0,1420523,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71025,0,1420543,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,0,3,2,71026,0,1420563,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,71027,0,1420583,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71028,0,1420603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71029,0,1420623,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71030,0,1420643,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71031,0,1420663,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71032,0,1420683,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71033,0,1420703,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71034,0,1420723,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71035,0,1420743,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71036,0,1420763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71037,0,1420783,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,0,3,2,71038,0,1420803,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,71039,0,1420823,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71040,0,1420843,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71041,0,1420863,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71042,0,1420883,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71043,0,1420903,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71044,0,1420923,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71045,0,1420943,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71046,0,1420963,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71047,0,1420983,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71048,0,1421003,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71049,0,1421023,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71050,0,1421043,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71051,0,1421063,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71052,0,1421083,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71053,0,1421103,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71054,0,1421123,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71055,0,1421143,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71056,0,1421163,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71057,0,1421183,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71058,0,1421203,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71059,0,1421223,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71060,0,1421243,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71061,0,1421263,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71062,0,1421283,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,71063,0,1421303,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71064,0,1421323,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71065,0,1421343,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,71066,0,1421363,0,0.0,0
