event_bits,evt_cmd_high_freq_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,0,3,2,54900,0,1098043,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54901,0,1098063,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54902,0,1098083,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54903,0,1098103,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54904,0,1098123,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54905,0,1098143,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54906,0,1098163,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54907,0,1098183,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54908,0,1098203,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54909,0,1098223,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54910,0,1098243,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54911,0,1098263,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54912,0,1098283,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54913,0,1098303,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54914,0,1098323,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54915,0,1098343,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54916,0,1098363,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54917,0,1098383,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54918,0,1098403,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54919,0,1098423,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54920,0,1098443,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54921,0,1098463,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54922,0,1098483,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54923,0,1098503,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54924,0,1098523,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54925,0,1098543,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54926,0,1098563,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54927,0,1098583,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54928,0,1098603,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54929,0,1098623,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54930,0,1098643,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54931,0,1098663,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54932,0,1098683,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54933,0,1098703,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54934,0,1098723,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54935,0,1098743,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54936,0,1098763,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54937,0,1098783,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54938,0,1098803,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54939,0,1098823,0,0.0,0
