event_bits,evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_fn1_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,1,0,1,9686,-9871,284400.0,1,3,2,84381,1,1687663,0,0.0,0
1048832,0,0,0,1,0,1,9695,-9876,284400.0,1,3,2,84382,1,1687683,0,0.0,0
1048832,0,0,0,1,0,1,9711,-9886,284400.0,1,3,2,84383,1,1687703,0,0.0,0
1048832,0,0,0,1,0,1,9690,-9880,284400.0,1,3,2,84384,1,1687723,0,0.0,0
1048832,0,0,0,1,0,1,9716,-9903,284400.0,1,3,2,84385,1,1687743,0,0.0,0
1048832,0,0,0,1,0,1,9720,-9926,284400.0,1,3,2,84386,1,1687763,0,0.0,0
1048832,0,0,0,1,0,1,9676,-9915,284400.0,1,3,2,84387,1,1687783,0,0.0,0
1048832,0,0,0,1,0,1,9709,-9897,284400.0,1,3,2,84388,1,1687803,0,0.0,0
1048832,0,0,0,1,0,1,9724,-9901,284400.0,1,3,2,84389,1,1687823,0,0.0,0
1048832,0,0,0,1,0,1,9699,-9882,284400.0,1,3,2,84390,1,1687843,0,0.0,0
1048832,0,0,0,1,0,1,9718,-9878,284400.0,1,3,2,84391,1,1687863,0,0.0,0
1048832,0,0,0,1,0,1,9709,-9890,284400.0,1,3,2,84392,1,1687883,0,0.0,0
1048832,0,0,0,1,0,1,9688,-9892,284400.0,1,3,2,84393,1,1687903,0,0.0,0
1048832,0,0,0,1,0,1,9722,-9897,284400.0,1,3,2,84394,1,1687923,0,0.0,0
1048832,0,0,0,1,0,1,9705,-9930,284400.0,1,3,2,84395,1,1687943,0,0.0,0
1048832,0,0,0,1,0,1,9690,-9930,284400.0,1,3,2,84396,1,1687963,0,0.0,0
1048832,0,0,0,1,0,1,9736,-9920,284400.0,1,3,2,84397,1,1687983,0,0.0,0
1048832,0,0,0,1,0,1,9716,-9903,284400.0,1,3,2,84398,1,1688003,0,0.0,0
1048832,0,0,0,1,0,1,9676,-9907,284400.0,1,3,2,84399,1,1688023,0,0.0,0
1048832,0,0,0,1,0,1,9709,-9886,284400.0,1,3,2,84400,1,1688043,0,0.0,0
1048832,0,0,0,1,0,1,9722,-9876,284400.0,1,3,2,84401,1,1688063,0,0.0,0
1048832,0,0,0,1,0,1,9699,-9911,284400.0,1,3,2,84402,1,1688083,0,0.0,0
1048832,0,0,0,1,0,1,9713,-9920,284400.0,1,3,2,84403,1,1688103,0,0.0,0
1048832,0,0,0,1,0,1,9713,-9922,284400.0,1,3,2,84404,1,1688123,0,0.0,0
1048832,0,0,0,1,0,1,9697,-9922,284400.0,1,3,2,84405,1,1688143,0,0.0,0
1048832,0,0,0,1,0,1,9724,-9905,284400.0,1,3,2,84406,1,1688163,0,0.0,0
1048832,0,0,0,1,0,1,9705,-9890,284400.0,1,3,2,84407,1,1688183,0,0.0,0
1048832,0,0,0,1,0,1,9695,-9901,284400.0,1,3,2,84408,1,1688203,0,0.0,0
1048832,0,0,0,1,0,1,9734,-9888,284400.0,1,3,2,84409,1,1688223,0,0.0,0
1048832,0,0,0,1,0,1,9711,-9882,284400.0,1,3,2,84410,1,1688243,0,0.0,0
1048832,0,0,0,1,0,1,9682,-9913,284400.0,1,3,2,84411,1,1688263,0,0.0,0
1048832,0,0,0,1,0,1,9711,-9926,284400.0,1,3,2,84412,1,1688283,0,0.0,0
1048832,0,0,0,1,0,1,9703,-9930,284400.0,1,3,2,84413,1,1688303,0,0.0,0
1048832,0,0,0,1,0,1,9697,-9915,284400.0,1,3,2,84414,1,1688323,0,0.0,0
