event_bits,evt_cmd_burst_toggle,evt_cmd_high_freq_toggle,evt_cmd_reverse_trigger,evt_fn1_cur,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,0,0,1,1,9676,-9871,311400.0,1,3,2,89536,1,1790763,0,0.0,0
1048832,0,0,0,0,0,1,1,9693,-9878,311400.0,1,3,2,89537,1,1790783,0,0.0,0
1048832,0,0,0,0,0,1,1,9693,-9873,311400.0,1,3,2,89538,1,1790803,0,0.0,0
1048832,0,0,0,0,0,1,1,9651,-9888,311400.0,1,3,2,89539,1,1790823,0,0.0,0
1048832,0,0,0,0,0,1,1,9697,-9905,311400.0,1,3,2,89540,1,1790843,0,0.0,0
1048832,0,0,0,0,0,1,1,9680,-9901,311400.0,1,3,2,89541,1,1790863,0,0.0,0
1048832,0,0,0,0,0,1,1,9686,-9888,311400.0,1,3,2,89542,1,1790883,0,0.0,0
1048832,0,0,0,0,0,1,1,9693,-9894,311400.0,1,3,2,89543,1,1790903,0,0.0,0
1048832,0,0,0,0,0,1,1,9676,-9882,311400.0,1,3,2,89544,1,1790923,0,0.0,0
1048832,0,0,0,0,0,1,1,9697,-9871,311400.0,1,3,2,89545,1,1790943,0,0.0,0
1048832,0,0,0,0,0,1,1,9690,-9880,311400.0,1,3,2,89546,1,1790963,0,0.0,0
1048832,0,0,0,0,0,1,1,9655,-9878,311400.0,1,3,2,89547,1,1790983,0,0.0,0
1049856,0,0,0,0,1,1,1,9701,-9855,311400.0,1,3,2,89548,1,1791003,0,0.0,0
1049856,0,0,0,0,1,1,1,9678,-9859,311400.0,1,3,2,89549,1,1791023,0,0.0,0
1049856,0,0,0,0,1,1,1,9684,-9869,311400.0,1,3,2,89550,1,1791043,0,0.0,0
1049856,0,0,0,0,1,1,1,9686,-9859,311400.0,1,3,2,89551,1,1791063,0,0.0,0
1049856,0,0,0,0,1,1,1,9670,-9882,311400.0,1,3,2,89552,1,1791083,0,0.0,0
1049856,0,0,0,0,1,1,1,9711,-9894,311400.0,1,3,2,89553,1,1791103,0,0.0,0
1049856,0,0,0,0,1,1,1,9684,-9888,311400.0,1,3,2,89554,1,1791123,0,0.0,0
1049856,0,0,0,0,1,1,1,9680,-9894,311400.0,1,3,2,89555,1,1791143,0,0.0,0
1049856,0,0,0,0,1,1,1,9693,-9901,311400.0,1,3,2,89556,1,1791163,0,0.0,0
1049856,0,0,0,0,1,1,1,9672,-9897,311400.0,1,3,2,89557,1,1791183,0,0.0,0
1049856,0,0,0,0,1,1,1,9690,-9888,311400.0,1,3,2,89558,1,1791203,0,0.0,0
1049856,0,0,0,0,1,1,1,9690,-9892,311400.0,1,3,2,89559,1,1791223,0,0.0,0
1049856,0,0,0,0,1,1,1,9676,-9884,311400.0,1,3,2,89560,1,1791243,0,0.0,0
1049856,0,0,0,0,1,1,1,9718,-9859,311400.0,1,3,2,89561,1,1791263,0,0.0,0
1049856,0,0,0,0,1,1,1,9682,-9861,311400.0,1,3,2,89562,1,1791283,0,0.0,0
1049856,0,0,0,0,1,1,1,9680,-9878,311400.0,1,3,2,89563,1,1791303,0,0.0,0
1049856,0,0,0,0,1,1,1,9695,-9859,311400.0,1,3,2,89564,1,1791323,0,0.0,0
1049856,0,0,0,0,1,1,1,9674,-9869,311400.0,1,3,2,89565,1,1791343,0,0.0,0
1049856,0,0,0,0,1,1,1,9713,-9884,311400.0,1,3,2,89566,1,1791363,0,0.0,0
1049856,0,0,0,0,1,1,1,9684,-9878,311400.0,1,3,2,89567,1,1791383,0,0.0,0
1049856,0,0,0,0,1,1,1,9682,-9873,311400.0,1,3,2,89568,1,1791403,0,0.0,0
1049856,0,0,0,0,1,1,1,9701,-9907,311400.0,1,3,2,89569,1,1791423,0,0.0,0
1049856,0,0,0,0,1,1,1,9674,-9913,311400.0,1,3,2,89570,1,1791443,0,0.0,0
1049856,0,0,0,0,1,1,1,9705,-9892,311400.0,1,3,2,89571,1,1791463,0,0.0,0
1049856,0,0,0,0,1,1,1,9680,-9894,311400.0,1,3,2,89572,1,1791483,0,0.0,0
1049856,0,0,0,0,1,1,1,9672,-9888,311400.0,1,3,2,89573,1,1791503,0,0.0,0
1049856,0,0,0,0,1,1,1,9713,-9867,311400.0,1,3,2,89574,1,1791523,0,0.0,0
1049856,0,0,0,0,1,1,1,9684,-9865,311400.0,1,3,2,89575,1,1791543,0,0.0,0
1049856,0,0,0,0,1,1,1,9678,-9884,311400.0,1,3,2,89576,1,1791563,0,0.0,0
1049856,0,0,0,0,1,1,1,9703,-9861,311400.0,1,3,2,89577,1,1791583,0,0.0,0
1049856,0,0,0,0,1,1,1,9672,-9855,311400.0,1,3,2,89578,1,1791603,0,0.0,0
1049856,0,0,0,0,1,1,1,9705,-9869,311400.0,1,3,2,89579,1,1791623,0,0.0,0
1048832,0,0,0,0,0,1,1,9684,-9867,311400.0,1,3,2,89580,1,1791643,0,0.0,0
1048832,0,0,0,0,0,1,1,9676,-9863,311400.0,1,3,2,89581,1,1791663,0,0.0,0
1048832,0,0,0,0,0,1,1,9711,-9892,311400.0,1,3,2,89582,1,1791683,0,0.0,0
1048832,0,0,0,0,0,1,1,9678,-9890,311400.0,1,3,2,89583,1,1791703,0,0.0,0
1048832,0,0,0,0,0,1,1,9695,-9892,311400.0,1,3,2,89584,1,1791723,0,0.0,0
1048832,0,0,0,0,0,1,1,9682,-9899,311400.0,1,3,2,89585,1,1791743,0,0.0,0
1048832,0,0,0,0,0,1,1,9674,-9897,311400.0,1,3,2,89586,1,1791763,0,0.0,0
1048832,0,0,0,0,0,1,1,9713,-9890,311400.0,1,3,2,89587,1,1791783,0,0.0,0
1048832,0,0,0,0,0,1,1,9682,-9876,311400.0,1,3,2,89588,1,1791803,0,0.0,0
1048832,0,0,0,0,0,1,1,9678,-9884,311400.0,1,3,2,89589,1,1791823,0,0.0,0
1048832,0,0,0,0,0,1,1,9711,-9865,311400.0,1,3,2,89590,1,1791843,0,0.0,0
1048832,0,0,0,0,0,1,1,9682,-9859,311400.0,1,3,2,89591,1,1791863,0,0.0,0
1048832,0,0,0,0,0,1,1,9695,-9871,311400.0,1,3,2,89592,1,1791883,0,0.0,0
1048832,0,0,0,0,0,1,1,9684,-9871,311400.0,1,3,2,89593,1,1791903,0,0.0,0
1048832,0,0,0,0,0,1,1,9672,-9850,311400.0,1,3,2,89594,1,1791923,0,0.0,0
1048832,0,0,0,0,0,1,1,9713,-9869,311400.0,1,3,2,89595,1,1791943,0,0.0,0
1048832,0,0,0,0,0,1,1,9680,-9878,311400.0,1,3,2,89596,1,1791963,0,0.0,0
1048832,0,0,0,0,0,1,1,9693,-9873,311400.0,1,3,2,89597,1,1791983,0,0.0,0
1048832,0,0,0,0,0,1,1,9688,-9890,311400.0,1,3,2,89598,1,1792003,0,0.0,0
1048832,0,0,0,0,0,1,1,9676,-9907,311400.0,1,3,2,89599,1,1792023,0,0.0,0
1048832,0,0,0,0,0,1,1,9713,-9903,311400.0,1,3,2,89600,1,1792043,0,0.0,0
1049856,0,0,0,0,1,1,1,9670,-9890,311400.0,1,3,2,89601,1,1792063,0,0.0,0
1049856,0,0,0,0,1,1,1,9684,-9897,311400.0,1,3,2,89602,1,1792083,0,0.0,0
1049856,0,0,0,0,1,1,1,9713,-9882,311400.0,1,3,2,89603,1,1792103,0,0.0,0
1049856,0,0,0,0,1,1,1,9678,-9869,311400.0,1,3,2,89604,1,1792123,0,0.0,0
1049856,0,0,0,0,1,1,1,9697,-9882,311400.0,1,3,2,89605,1,1792143,0,0.0,0
1049856,0,0,0,0,1,1,1,9688,-9884,311400.0,1,3,2,89606,1,1792163,0,0.0,0
1049856,0,0,0,0,1,1,1,9680,-9855,311400.0,1,3,2,89607,1,1792183,0,0.0,0
1049856,0,0,0,0,1,1,1,9709,-9861,311400.0,1,3,2,89608,1,1792203,0,0.0,0
1049856,0,0,0,0,1,1,1,9665,-9873,311400.0,1,3,2,89609,1,1792223,0,0.0,0
1049856,0,0,0,0,1,1,1,9680,-9871,311400.0,1,3,2,89610,1,1792243,0,0.0,0
1049856,0,0,0,0,1,1,1,9701,-9888,311400.0,1,3,2,89611,1,1792263,0,0.0,0
1049856,0,0,0,0,1,1,1,9676,-9905,311400.0,1,3,2,89612,1,1792283,0,0.0,0
1049856,0,0,0,0,1,1,1,9703,-9905,311400.0,1,3,2,89613,1,1792303,0,0.0,0
1049856,0,0,0,0,1,1,1,9663,-9901,311400.0,1,3,2,89614,1,1792323,0,0.0,0
1115392,0,0,1,0,1,1,1,9682,-9909,311400.0,1,3,2,89615,1,1792343,0,-13.0,0
1049856,0,0,0,0,1,1,1,9713,-9901,311400.0,1,3,2,89616,1,1792363,0,0.0,0
