fric1_rpm,fric_set,i1,i2,i3,i4,key_v,pitch_cur,shoot_mode,yaw_cur
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
-3,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,2048,-1732,0,877
0,0.0,221,164,180,200,2048,-1250,0,685
0,0.0,221,164,180,200,2048,-1119,0,414
0,0.0,221,164,180,200,2048,-1065,0,132
0,0.0,221,164,180,200,2048,-1085,0,-137
0,0.0,4213,4131,4566,4949,2048,-1067,0,765
0,0.0,1419,1293,1323,1124,2048,-1054,0,558
0,0.0,455,435,583,241,0,-1000,0,623
0,0.0,274,217,128,266,0,-1046,0,594
0,0.0,274,123,22,291,0,-1070,0,641
0,0.0,262,123,234,110,0,-1016,0,550
0,0.0,218,329,391,67,0,-1053,0,553
0,0.0,324,242,428,55,0,-993,0,554
0,0.0,62,186,222,173,0,-950,0,543
0,0.0,262,204,391,279,0,-983,0,549
0,0.0,312,266,366,329,0,-974,0,506
0,0.0,453,208,227,390,0,-966,0,522
0,0.0,181,241,92,161,0,-957,0,520
0,0.0,243,61,104,161,0,-951,0,474
0,0.0,218,422,191,223,0,-942,0,501
0,0.0,231,160,204,410,0,-935,0,479
0,0.0,243,348,366,279,0,-926,0,474
0,0.0,231,-20,335,423,0,-918,0,455
0,0.0,312,185,298,42,0,-910,0,428
0,0.0,274,173,-1,111,0,-901,0,437
0,0.0,230,291,104,161,0,-894,0,451
0,0.0,274,160,179,173,0,-887,0,402
0,0.0,324,98,248,279,0,-879,0,401
0,0.0,243,279,104,173,0,-871,0,402
0,0.0,287,347,142,435,0,-862,0,381
0,0.0,312,360,260,223,0,-855,0,395
0,0.0,362,110,260,367,0,-848,0,361
0,0.0,262,136,404,242,0,-840,0,375
0,0.0,205,229,248,448,0,-832,0,370
0,0.0,131,217,223,242,0,-824,0,344
0,0.0,193,123,11,198,0,-815,0,358
0,0.0,155,173,129,30,0,-807,0,315
-3,0.0,311,229,298,254,0,-799,0,327
