bullet_cnt,fric1_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
7,4869,7.423,2,0,329697,293110,0.0
7,4888,7.183,2,0,329697,293110,0.0
7,4884,6.943,2,0,329697,293110,0.0
7,4882,6.703,2,0,329697,293110,0.0
7,4905,6.463,2,0,329697,293110,0.0
8,4907,16.223,6,10000,330200,329974,0.425
8,4854,15.983,6,-10000,334083,329974,4.491
8,4884,15.743,6,10000,325999,329974,-9.262
8,4894,15.503,6,10000,327009,329974,2.502
8,4865,15.263,6,-10000,340089,329974,15.073
8,4913,15.023,6,-10000,341926,329974,0.319
8,4867,14.783,6,-10000,328949,329974,-14.449
8,4879,14.543,6,10000,324119,329974,-2.439
8,4886,14.303,6,-10000,337416,329974,15.337
8,4882,14.063,6,-10000,342587,329974,4.302
8,4905,13.823,2,0,335796,329974,-7.978
8,4879,13.583,2,0,328845,329974,-6.914
8,4892,13.343,2,0,326589,329974,-1.841
8,4884,13.103,2,0,327435,329974,0.998
8,4873,12.863,2,0,327718,329974,0.256
8,4905,12.623,2,0,327725,329974,-0.011
8,4867,12.383,2,0,327725,329974,0.0
8,4869,12.143,2,0,327725,329974,0.0
8,4882,11.903,2,0,327732,329974,0.004
8,4884,11.663,2,0,327740,329974,0.007
8,4877,11.423,2,0,327742,329974,0.0
8,4905,11.183,2,0,327749,329974,0.004
8,4879,10.943,2,0,327754,329974,0.003
8,4890,10.703,2,0,327756,329974,0.0
8,4884,10.463,2,0,327763,329974,0.003
8,4875,10.223,2,0,327771,329974,0.007
8,4905,9.983,2,0,327778,329974,0.004
8,4867,9.743,2,0,327829,329974,0.05
8,4909,9.503,4,10000,327902,366838,0.066
8,4884,9.263,4,10000,333383,366838,6.73
8,4879,9.023,4,10000,349925,366838,18.478
9,4653,18.783,6,-10000,374433,366838,26.666
9,4842,18.543,6,-10000,394666,366838,20.209
9,4710,18.303,6,-10000,396773,366838,0.788
9,4798,18.063,6,-10000,385854,366838,-12.46
9,4886,17.823,6,10000,362850,366838,-25.665
9,4861,17.583,6,10000,338967,366838,-24.989
9,4871,17.343,6,10000,331767,366838,-6.387
9,4926,17.104,2,0,335813,366838,5.116
9,4867,16.864,2,0,338256,366838,2.295
9,4905,16.624,2,0,338538,366838,0.114
9,4871,16.384,2,0,338490,366838,-0.064
9,4859,16.144,2,0,338423,366838,-0.07
9,4905,15.904,2,0,338423,366838,0.001
9,4863,15.664,2,0,338423,366838,0.0
9,4894,15.424,2,0,338421,366838,-0.001
9,4882,15.184,2,0,338418,366838,-0.002
9,4869,14.944,2,0,338414,366838,-0.004
9,4909,14.704,2,0,338408,366838,-0.006
9,4926,14.464,2,0,338404,366838,-0.003
9,4867,14.224,2,0,338400,366838,-0.006
9,4907,13.984,2,0,338389,366838,-0.015
9,4875,13.744,2,0,338380,366838,-0.013
9,4859,13.504,2,0,338379,366838,0.0
9,4903,13.264,2,0,338370,366838,-0.012
9,4867,13.024,2,0,338371,366838,0.0
9,4896,12.784,2,0,338371,366838,0.0
9,4879,12.544,2,0,338371,366838,0.0
9,4873,12.304,2,0,338371,366838,0.0
9,4907,12.064,2,0,338371,366838,-0.001
9,4875,11.824,2,0,338371,366838,0.0
9,4905,11.584,4,10000,339349,403702,0.946
9,4871,11.344,4,10000,348653,403702,10.711
9,4610,11.104,4,10000,366915,403702,19.749
9,4769,10.864,4,10000,395639,403702,31.476
10,4764,20.624,6,-10000,430156,403702,37.542
10,4693,20.384,6,-10000,450600,403702,19.904
10,4842,20.144,6,-10000,452180,403702,0.623
10,4831,19.904,6,-10000,449324,403702,-13.096
10,4867,19.664,6,-10000,440077,403702,-7.658
10,4919,19.424,6,-10000,441458,403702,1.475
10,4867,19.184,2,0,442656,403702,1.267
10,4909,18.944,2,0,445912,403702,3.572
10,4869,18.704,2,0,448038,403702,2.082
10,4863,18.464,2,0,449056,403702,0.987
10,4898,18.224,2,0,449370,403702,0.258
10,4867,17.984,2,0,449310,403702,-0.089
10,4896,17.744,2,0,449317,403702,0.005
10,4879,17.504,2,0,449317,403702,0.0
10,4875,17.264,2,0,449317,403702,0.0
10,4905,17.024,2,0,449317,403702,0.0
10,4877,16.784,2,0,449317,403702,0.0
10,4867,16.544,2,0,449317,403702,0.0
10,4905,16.304,2,0,449317,403702,0.0
10,4869,16.064,2,0,449317,403702,0.0
10,4863,15.824,2,0,449317,403702,0.0
10,4900,15.584,2,0,449317,403702,0.0
10,4865,15.344,2,0,449317,403702,0.0
10,4896,15.104,2,0,449317,403702,0.0
10,4882,14.864,2,0,449317,403702,0.0
10,4873,14.624,2,0,449317,403702,0.0
10,4903,14.384,4,-10000,445594,440566,-4.322
11,4875,24.144,6,-10000,441170,440566,-4.214
11,4907,23.904,6,-10000,441192,440566,0.236
11,4869,23.664,6,-10000,441193,440566,-0.007
