i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power
73,-2126,-484,2442,-40.0,120.0,44.4,6000
217,-2360,-595,2674,-40.0,120.0,45.57,6000
519,-2127,-490,2723,-40.0,120.0,46.91,6000
224,-2834,-889,2767,-40.0,120.0,46.91,6000
504,-2506,-462,2905,-40.0,120.0,46.91,6000
322,-2603,-893,3044,-40.0,120.0,49.46,6000
16000,15964,-16000,-15373,-40.0,120.0,0.0,6000
3872,3065,-4384,-3389,-40.0,120.0,4.14,6000
3016,1197,-1487,-2991,-40.0,120.0,11.48,6000
3362,873,-1455,-2685,-40.0,120.0,11.48,6000
3228,1559,-1526,-2310,-40.0,120.0,11.48,6000
3440,1102,-1409,-2435,-40.0,120.0,11.48,6000
3626,975,-1480,-3069,-40.0,120.0,10.69,6000
2920,1260,-1635,-3046,-40.0,120.0,11.34,6000
2489,1253,-1560,-3107,-40.0,120.0,11.96,6000
3274,1843,-1528,-3226,-40.0,120.0,11.11,6000
4827,1861,-2717,-3129,-40.0,120.0,12.7,6000
6057,3226,-3760,-4771,-40.0,120.0,23.64,6000
7773,4251,-6364,-7817,-40.0,120.0,51.69,6000
10142,4135,-7178,-9448,-40.0,120.0,104.2,6000
8507,3306,-4855,-8458,-40.0,120.0,159.18,6000
8205,2465,-5329,-7340,-40.0,120.0,195.46,6000
8473,1890,-4624,-8341,-40.0,120.0,190.22,6000
7974,1769,-4388,-7902,-40.0,120.0,184.06,6000
6923,2280,-4088,-7131,-38.0,120.0,177.89,5900
8171,1761,-3599,-6675,-38.0,120.0,169.32,5900
7329,2107,-4238,-5816,-38.0,120.0,169.15,5900
6371,2958,-3469,-5839,-36.0,120.0,166.19,5800
6638,2732,-3040,-5764,-36.0,120.0,159.14,5800
6806,3191,-3257,-5089,-36.0,120.0,167.22,5800
7686,2129,-3748,-4211,-34.0,120.0,161.15,5700
6765,2024,-4298,-3080,-34.0,120.0,146.91,5700
6011,1507,-4919,-2515,-34.0,120.0,134.6,5700
5146,1676,-4874,-2259,-34.0,120.0,120.02,5700
5209,2007,-4138,-1477,-34.0,120.0,120.02,5700
5726,1574,-3885,-1597,-34.0,120.0,120.02,5700
5245,1805,-4895,-1436,-34.0,120.0,120.02,5700
5615,1222,-4195,-1544,-32.0,120.0,114.28,5600
4375,797,-4376,-1800,-32.0,120.0,105.76,5600
5231,1224,-4709,-1146,-32.0,120.0,113.62,5600
4342,938,-3768,-1294,-32.0,120.0,102.66,5600
4295,990,-3849,-1411,-32.0,120.0,102.66,5600
3746,943,-3416,-1476,-32.0,120.0,102.66,5600
4028,841,-2958,-1230,-32.0,120.0,102.66,5600
3934,722,-2975,-1549,-38.0,120.0,91.8,5900
3371,719,-2576,-1695,-38.0,120.0,85.03,5900
