evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,0,1,0,0,0.0,2,2,139934,2798723,0,0
0,0,1,0,0,0.0,2,2,139935,2798743,0,0
0,0,1,0,0,0.0,2,2,139936,2798763,0,0
0,0,1,0,0,0.0,2,2,139937,2798783,0,0
0,0,1,0,0,0.0,2,2,139938,2798803,0,0
0,0,1,0,0,0.0,2,2,139939,2798823,0,0
0,0,1,0,0,0.0,2,2,139940,2798843,0,0
0,0,1,0,0,0.0,2,2,139941,2798863,0,0
0,0,1,0,0,0.0,2,2,139942,2798883,0,0
0,0,1,0,0,0.0,2,2,139943,2798903,0,0
0,0,1,0,0,0.0,2,2,139944,2798923,0,0
0,0,1,0,0,0.0,2,2,139945,2798943,0,0
0,0,1,0,0,0.0,2,2,139946,2798963,0,0
0,0,1,0,0,0.0,2,2,139947,2798983,0,0
0,0,1,0,0,0.0,2,2,139948,2799003,0,0
0,0,1,0,0,0.0,2,2,139949,2799023,0,0
0,0,1,0,0,0.0,2,2,139950,2799043,0,0
0,0,1,0,0,0.0,2,2,139951,2799063,0,0
0,0,1,0,0,0.0,2,2,139952,2799083,0,0
0,0,1,0,0,0.0,2,2,139953,2799103,0,0
0,0,1,0,0,0.0,2,2,139954,2799123,0,0
0,0,1,0,0,0.0,2,2,139955,2799143,0,0
0,0,1,0,0,0.0,2,2,139956,2799163,0,0
0,0,1,0,0,0.0,2,2,139957,2799183,0,0
0,0,1,0,0,0.0,2,2,139958,2799203,0,0
0,0,1,0,0,0.0,2,2,139959,2799223,0,0
0,0,1,0,0,0.0,2,2,139960,2799243,0,0
0,0,1,0,0,0.0,2,2,139961,2799263,0,0
0,0,1,0,0,0.0,2,2,139962,2799283,0,0
0,0,1,0,0,0.0,2,2,139963,2799303,0,0
0,0,1,0,0,0.0,2,2,139964,2799323,0,0
0,0,1,0,0,0.0,2,2,139965,2799343,0,0
0,0,1,0,0,0.0,2,2,139966,2799363,0,0
0,0,1,0,0,0.0,2,2,139967,2799383,0,0
0,0,1,0,0,0.0,2,2,139968,2799403,0,0
0,0,1,0,0,0.0,2,2,139969,2799423,0,0
0,0,1,0,0,0.0,2,2,139970,2799443,0,0
0,0,1,0,0,0.0,2,2,139971,2799463,0,0
0,0,1,0,0,0.0,2,2,139972,2799483,0,0
0,0,1,0,0,0.0,2,2,139973,2799503,0,0
0,0,1,0,0,0.0,2,2,139974,2799523,0,0
0,0,1,0,0,0.0,2,2,139975,2799543,0,0
0,0,1,0,0,0.0,2,2,139976,2799563,0,0
0,0,1,0,0,0.0,2,2,139977,2799583,0,0
0,0,1,0,0,0.0,2,2,139978,2799603,0,0
0,0,1,0,0,0.0,2,2,139979,2799623,0,0
0,0,1,0,0,0.0,2,2,139980,2799643,0,0
0,0,1,0,0,0.0,2,2,139981,2799663,0,0
0,0,1,0,0,0.0,2,2,139982,2799683,0,0
0,0,1,0,0,0.0,2,2,139983,2799703,0,0
0,0,1,0,0,0.0,2,2,139984,2799723,0,0
0,0,1,0,0,0.0,2,2,139985,2799743,0,0
0,0,1,0,0,0.0,2,2,139986,2799763,0,0
0,0,1,0,0,0.0,2,2,139987,2799783,0,0
0,0,1,0,0,0.0,2,2,139988,2799803,0,0
0,0,1,0,0,0.0,2,2,139989,2799823,0,0
0,0,1,0,0,0.0,2,2,139990,2799843,0,0
0,0,1,0,0,0.0,2,2,139991,2799863,0,0
0,0,1,0,0,0.0,2,2,139992,2799883,0,0
0,1,1,0,0,0.0,3,2,139993,2799903,0,0
0,1,1,0,0,0.0,3,2,139994,2799923,0,0
0,1,1,0,0,0.0,3,2,139995,2799943,0,0
0,1,1,0,0,0.0,3,2,139996,2799963,0,0
0,1,1,-3,2,0.0,3,2,139997,2799983,0,0
0,1,1,0,0,0.0,3,2,139998,2800003,0,0
0,1,1,0,0,0.0,3,2,139999,2800023,0,0
0,1,1,0,-5,0.0,3,2,140000,2800043,0,0
0,1,1,0,0,0.0,3,2,140001,2800063,0,0
0,1,1,0,0,0.0,3,2,140002,2800083,0,0
0,1,1,0,-3,0.0,3,2,140003,2800103,0,0
0,1,1,0,0,0.0,3,2,140004,2800123,0,0
0,1,1,0,-3,0.0,3,2,140005,2800143,0,0
0,1,1,-3,0,0.0,3,2,140006,2800163,0,0
0,1,1,0,-5,0.0,3,2,140007,2800183,0,0
0,1,1,0,2,0.0,3,2,140008,2800203,0,0
0,1,1,0,0,0.0,3,2,140009,2800223,0,0
0,1,1,0,0,0.0,3,2,140010,2800243,0,0
0,1,1,0,0,0.0,3,2,140011,2800263,0,0
0,1,1,0,0,0.0,3,2,140012,2800283,0,0
0,1,1,0,0,0.0,3,2,140013,2800303,0,0
0,1,1,0,0,0.0,3,2,140014,2800323,0,0
0,1,1,0,0,0.0,3,2,140015,2800343,0,0
