i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power,ref_toe
-13373,-13441,16000,14724,-40.0,120.0,85.93,6000,1
-2162,-3339,6519,1768,-40.0,120.0,48.9,6000,0
-2199,-3195,7154,671,-40.0,120.0,45.36,6000,0
-2340,-2703,7873,415,-40.0,120.0,46.17,6000,0
-2852,-1302,9626,842,-40.0,120.0,52.85,6000,0
-3095,-119,8441,418,-40.0,120.0,52.61,6000,0
-2696,677,6557,312,-40.0,120.0,50.8,6000,0
-2728,2197,5896,-1024,-40.0,120.0,48.77,6000,0
-2814,3234,4505,-180,-40.0,120.0,52.16,6000,0
-3013,3859,3670,-414,-40.0,120.0,49.79,6000,0
-3052,4582,3361,-811,-40.0,120.0,49.83,6000,1
-3429,5203,2944,-723,-40.0,120.0,49.83,6000,1
-2553,4432,2160,-1015,-40.0,120.0,49.83,6000,1
-1495,4024,1084,-1958,-40.0,120.0,35.02,6000,0
-468,3909,537,-1789,-40.0,120.0,34.23,6000,0
367,3476,209,-1611,-40.0,120.0,34.98,6000,0
529,3015,-119,-1361,-40.0,120.0,32.12,6000,0
1509,2188,-153,-703,-40.0,120.0,34.33,6000,0
1458,1694,-88,-262,-40.0,120.0,34.73,6000,0
1533,1368,-341,288,-40.0,120.0,35.08,6000,0
970,798,-130,547,-40.0,120.0,33.46,6000,1
118,160,557,896,-40.0,120.0,33.46,6000,1
-653,-7,2004,1313,-40.0,120.0,33.46,6000,1
-2221,17,4103,951,-40.0,120.0,50.13,6000,0
-3480,685,5352,324,-40.0,120.0,63.15,6000,0
-4157,1319,6224,-567,-40.0,120.0,75.13,6000,0
-4987,3135,6162,-1064,-40.0,120.0,92.18,6000,0
-4355,4844,6168,-2621,-40.0,120.0,112.23,6000,0
-3302,5764,5401,-13744,-40.0,120.0,137.84,6000,0
-4664,6232,3900,-2476,-40.0,120.0,126.21,6000,0
-336,6441,3496,-1447,-40.0,120.0,134.08,6000,0
395,6493,2464,-3271,-40.0,120.0,132.32,6000,0
2650,6496,618,-3854,-40.0,120.0,141.58,6000,0
646,6748,79,-4293,-40.0,120.0,139.83,6000,1
2041,5465,-997,-5801,-40.0,120.0,139.83,6000,1
3814,5051,-2162,-6044,-40.0,120.0,139.83,6000,1
5021,3080,-3252,-5640,-36.0,120.0,152.16,5800,0
5774,2336,-2651,-5398,-36.0,120.0,119.44,5800,0
5558,1404,-2646,-2486,-36.0,120.0,103.02,5800,0
5813,563,-3150,-685,-36.0,120.0,99.52,5800,0
5201,450,-3979,286,-36.0,120.0,99.81,5800,0
3235,-947,-2205,2500,-36.0,120.0,65.46,5800,0
1081,-982,203,2316,-40.0,120.0,35.83,6000,0
-913,-1526,2466,2229,-40.0,120.0,14.29,6000,0
-16000,-2222,16000,3334,-40.0,120.0,50.04,6000,0
-3520,358,7403,915,-40.0,120.0,54.98,6000,0
-2967,1635,5454,224,-40.0,120.0,51.62,6000,0
-2706,2795,5840,281,-40.0,120.0,58.87,6000,0
-3874,4023,4538,-713,-40.0,120.0,53.76,6000,0
-3969,4430,2744,-675,-40.0,120.0,47.67,6000,0
-4096,5241,3083,-40,-40.0,120.0,55.85,6000,0
-3084,4862,2788,-792,-40.0,120.0,49.03,6000,0
-3085,6063,2997,-1802,-40.0,120.0,49.03,6000,1
-2399,6252,1596,-1789,-40.0,120.0,49.03,6000,1
-1253,5565,738,-2639,-40.0,120.0,49.03,6000,1
398,5073,-379,-3009,-40.0,120.0,48.87,6000,0
2134,3866,-1747,-3588,-40.0,120.0,52.41,6000,0
5302,3211,-2959,-3908,-40.0,120.0,69.81,6000,0
7452,2386,-3605,-4640,-40.0,120.0,82.1,6000,1
7572,2016,-3742,-2890,-40.0,120.0,82.1,6000,1
8880,2061,-3576,-2754,-40.0,120.0,82.1,6000,1
8602,839,-3833,-2080,-40.0,120.0,82.1,6000,1
8276,322,-4509,-862,-40.0,120.0,118.07,6000,0
7161,-16000,-4827,957,-40.0,120.0,130.08,6000,0
6202,752,-4754,1699,-40.0,120.0,160.0,6000,0
4697,1865,-5403,3329,-40.0,120.0,131.68,6000,0
2689,-1954,-4763,4834,-40.0,120.0,91.82,6000,0
2629,-2138,-3174,5718,-40.0,120.0,95.24,6000,0
1233,-2679,-1951,5759,-40.0,120.0,81.99,6000,0
1171,-2718,-1961,6065,-40.0,120.0,87.8,6000,0
966,-3288,42,5858,-40.0,120.0,93.96,6000,0
578,-4581,1450,6056,-40.0,120.0,107.83,6000,1
42,-5262,1850,5806,-40.0,120.0,107.83,6000,1
-844,-7416,3186,5521,-40.0,120.0,107.83,6000,1
-691,-6365,3681,5170,-40.0,120.0,107.83,6000,0
-16000,-5018,3294,3826,-40.0,120.0,171.9,6000,0
1366,-4225,4343,3024,-40.0,120.0,184.17,6000,0
1098,-3445,5340,2358,-40.0,120.0,129.37,6000,0
-3208,-2656,5994,988,-40.0,120.0,99.9,6000,0
-1948,-1542,5855,1454,-40.0,120.0,108.68,6000,0
-3261,-1389,5474,634,-40.0,120.0,100.39,6000,0
-3781,-175,6181,106,-40.0,120.0,104.14,6000,1
-4436,741,6107,81,-40.0,120.0,104.14,6000,1
-5344,311,6856,364,-40.0,120.0,104.14,6000,1
-3042,1855,4955,53,-38.0,120.0,169.3,5900,0
-3424,1142,5150,-229,-38.0,120.0,185.1,5900,0
-1688,1950,4182,6,-38.0,120.0,106.24,5900,0
336,1760,1336,-632,-40.0,120.0,53.72,6000,0
12946,-2162,-9840,3799,-40.0,120.0,64.89,6000,0
3112,-1046,-5545,4673,-40.0,120.0,46.79,6000,0
2632,-841,-4620,5486,-40.0,120.0,48.23,6000,0
4375,-1020,-3467,4995,-40.0,120.0,53.19,6000,0
4001,-1876,-3317,5853,-40.0,120.0,54.85,6000,0
2404,-1480,-3534,7170,-40.0,120.0,48.95,6000,1
1731,-1970,-2509,6099,-40.0,120.0,48.95,6000,1
1231,-2441,-1062,5648,-40.0,120.0,48.95,6000,1
290,-2081,-48,5810,-40.0,120.0,43.15,6000,0
-565,-2397,1285,3683,-40.0,120.0,37.69,6000,0
-1284,-2835,3013,2070,-40.0,120.0,36.69,6000,0
-969,-3337,3791,2343,-40.0,120.0,41.42,6000,0
-1522,-2813,4268,2124,-40.0,120.0,42.38,6000,0
