bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
107,4900,-4857,26.058,2,0,3790477,3790477,0.0
107,4873,-4906,25.818,2,0,3790477,3790477,0.0
107,4892,-4878,25.578,2,0,3790480,3790480,0.001
107,4905,-4880,25.338,2,0,3790480,3790480,0.0
107,4882,-4874,25.098,2,0,3790480,3790480,0.0
107,4861,-4895,24.858,2,0,3790480,3790480,0.0
107,4892,-4866,24.618,2,0,3790480,3790480,0.0
107,4886,-4887,24.378,2,0,3790480,3790480,0.0
107,4865,-4889,24.138,2,0,3790480,3790480,0.0
107,4913,-4860,23.898,2,0,3790480,3790480,0.0
107,4873,-4880,23.658,2,0,3790480,3790480,0.0
107,4900,-4855,23.418,2,0,3790480,3790480,0.0
107,4877,-4893,23.178,2,0,3790480,3790480,0.0
107,4888,-4897,22.938,4,10000,3791312,3827344,0.793
107,4905,-4860,22.698,4,10000,3803002,3827344,12.608
108,4882,-4883,32.459,6,10000,3823214,3827344,22.197
108,4733,-4761,32.218,6,-10000,3845941,3827344,24.049
108,4844,-4868,31.978,6,-10000,3852718,3827344,5.865
108,4898,-4839,31.738,6,-10000,3843372,3827344,-10.815
108,4846,-4908,31.498,6,10000,3823373,3827344,-22.513
108,4896,-4899,31.259,6,10000,3823211,3827344,2.587
108,4913,-4878,31.019,6,-10000,3837443,3827344,16.361
108,4884,-4924,30.779,6,-10000,3837782,3827344,-0.357
108,4877,-4841,30.539,6,-10000,3832521,3827344,-14.826
108,4911,-4847,30.299,6,-10000,3834419,3827344,-5.069
108,4846,-4908,30.059,2,0,3837438,3837438,3.28
108,4911,-4908,29.819,2,0,3840272,3840272,3.012
108,4871,-4889,29.579,2,0,3841872,3841872,1.635
108,4882,-4910,29.339,2,0,3842592,3842592,0.697
108,4921,-4849,29.099,2,0,3842573,3842573,-0.079
108,4850,-4895,28.859,2,0,3842443,3842443,-0.147
108,4896,-4906,28.619,2,0,3842458,3842458,0.0
108,4869,-4864,28.379,2,0,3842460,3842460,0.0
108,4871,-4924,28.139,2,0,3842460,3842460,0.0
108,4928,-4864,27.899,2,0,3842460,3842460,0.0
108,4869,-4899,27.659,2,0,3842460,3842460,0.0
108,4903,-4916,27.419,2,0,3842460,3842460,0.0
108,4907,-4897,27.179,2,0,3842460,3842460,0.0
108,4873,-4853,26.939,2,0,3842460,3842460,0.0
108,4886,-4910,26.699,2,0,3842460,3842460,0.0
108,4921,-4872,26.459,2,0,3842460,3842460,0.0
108,4852,-4883,26.219,2,0,3842460,3842460,0.0
108,4898,-4901,25.979,2,0,3842460,3842460,0.0
108,4867,-4847,25.739,2,0,3842460,3842460,0.0
108,4871,-4918,25.499,2,0,3842460,3842460,0.0
108,4926,-4889,25.259,2,0,3842460,3842460,0.0
108,4867,-4897,25.019,4,10000,3842460,3879324,0.0
108,4903,-4912,24.779,4,10000,3848613,3879324,7.351
