bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
43,2341,-2206,0.0,1,0,13387430,13387086,0.0,0.0
43,3534,-3330,0.0,1,0,13387430,13387086,0.0,0.0
43,4551,-4468,0.0,1,0,13387430,13387086,0.0,0.0
43,4831,-4830,0.0,2,-1029,13387428,13387428,-0.007,-5.0
43,4844,-4862,0.0,2,-954,13387380,13387380,-0.042,5.0
43,4869,-4855,0.0,2,-518,13387378,13387378,0.001,5.0
43,4852,-4855,0.0,2,-98,13387392,13387392,0.009,5.0
43,4856,-4860,0.0,2,320,13387409,13387409,0.005,5.0
43,4879,-4893,0.0,2,739,13387439,13387439,0.026,5.0
43,4888,-4870,0.0,2,1027,13387857,13387857,0.439,5.0
43,4859,-4880,0.0,2,1020,13389651,13389651,1.61,5.0
43,4886,-4857,0.0,2,1018,13392389,13392389,1.901,5.0
43,4877,-4847,0.0,2,1021,13394319,13394319,1.399,5.0
43,4856,-4862,0.0,2,1024,13395609,13395609,0.875,5.0
43,4863,-4889,0.0,2,1027,13396173,13396173,0.377,5.0
43,4869,-4880,0.0,2,1030,13396185,13396185,-0.017,5.0
43,4911,-4908,0.0,2,1030,13396185,13396185,0.0,5.0
43,4905,-4899,0.0,2,1030,13396185,13396185,0.0,5.0
43,4917,-4878,0.0,2,1030,13396185,13396185,0.0,5.0
43,4892,-4880,0.0,2,1030,13396185,13396185,0.0,5.0
43,4884,-4870,0.0,2,1030,13396184,13396184,-0.002,5.0
43,4877,-4862,0.0,2,1029,13396184,13396184,0.0,5.0
43,4879,-4897,0.0,2,1030,13396184,13396184,0.0,5.0
43,4884,-4862,0.0,2,1030,13396184,13396184,0.0,5.0
43,4856,-4878,0.0,2,1030,13396184,13396184,0.0,5.0
43,4894,-4914,0.0,2,1030,13396184,13396184,0.0,5.0
43,4879,-4910,0.0,2,1030,13396184,13396184,0.0,5.0
43,4875,-4899,0.0,2,1030,13396184,13396184,0.0,5.0
43,4875,-4841,0.0,2,1030,13396184,13396184,0.0,5.0
43,4879,-4860,0.0,2,1030,13396184,13396184,0.0,5.0
43,4844,-4855,0.0,2,1030,13396184,13396184,0.0,5.0
43,4909,-4887,0.0,2,1030,13396184,13396184,0.0,5.0
43,4921,-4876,0.0,2,1030,13396184,13396184,0.0,5.0
43,4903,-4862,0.0,2,1030,13396184,13396184,0.0,5.0
43,4873,-4872,0.0,2,1029,13396184,13396184,0.0,5.0
43,4871,-4851,0.0,2,1030,13396184,13396184,0.0,5.0
