evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,1,0,1,9508,-9668,159900.0,3,2,143171,2863463,0,0
0,1,0,1,9504,-9704,159900.0,3,2,143172,2863483,0,0
0,1,0,1,9494,-9662,159900.0,3,2,143173,2863503,0,0
0,1,0,1,9477,-9675,159900.0,3,2,143174,2863523,0,0
0,1,0,1,9471,-9696,159900.0,3,2,143175,2863543,0,0
0,1,0,1,9475,-9677,159900.0,3,2,143176,2863563,0,0
0,1,0,1,9487,-9702,159900.0,3,2,143177,2863583,0,0
0,1,0,1,9498,-9650,159900.0,3,2,143178,2863603,0,0
0,1,0,1,9487,-9685,159900.0,3,2,143179,2863623,0,0
0,1,0,1,9481,-9683,159900.0,3,2,143180,2863643,0,0
0,1,0,1,9481,-9677,159900.0,3,2,143181,2863663,0,0
0,1,0,1,9479,-9694,159900.0,3,2,143182,2863683,0,0
0,1,0,1,9477,-9660,159900.0,3,2,143183,2863703,0,0
0,1,0,1,9485,-9696,159900.0,3,2,143184,2863723,0,0
0,1,0,1,9498,-9677,159900.0,3,2,143185,2863743,0,0
0,1,0,1,9502,-9654,159900.0,3,2,143186,2863763,0,0
0,1,0,1,9508,-9700,159900.0,3,2,143187,2863783,0,0
0,1,0,1,9485,-9666,159900.0,3,2,143188,2863803,0,0
0,1,0,1,9473,-9702,159900.0,3,2,143189,2863823,0,0
0,1,0,1,9467,-9664,159900.0,3,2,143190,2863843,0,0
0,1,0,1,9487,-9675,159900.0,3,2,143191,2863863,0,0
0,1,0,1,9510,-9706,159900.0,3,2,143192,2863883,0,0
0,1,0,1,9506,-9675,159900.0,3,2,143193,2863903,0,0
0,1,0,1,9485,-9704,159900.0,3,2,143194,2863923,0,0
0,1,0,1,9460,-9660,159900.0,3,2,143195,2863943,0,0
0,1,0,1,9456,-9681,159900.0,3,2,143196,2863963,0,0
0,1,0,1,9464,-9700,159900.0,3,2,143197,2863983,0,0
0,1,0,1,9487,-9654,159900.0,3,2,143198,2864003,0,0
0,1,0,1,9508,-9696,159900.0,3,2,143199,2864023,0,0
0,1,0,1,9510,-9679,159900.0,3,2,143200,2864043,0,0
0,1,0,1,9496,-9685,159900.0,3,2,143201,2864063,0,0
0,1,0,1,9475,-9691,159900.0,3,2,143202,2864083,0,0
0,1,0,1,9469,-9647,159900.0,3,2,143203,2864103,0,0
0,1,0,1,9483,-9694,159900.0,3,2,143204,2864123,0,0
0,1,0,1,9496,-9671,159900.0,3,2,143205,2864143,0,0
